selling_price,km_driven,fuel,seller_type,transmission,owner,car_age
60000,0.14386251346175402,4,1,1,0,1.5157430361864117
135000,-0.4115058971295273,4,1,1,0,1.5157430361864117
600000,0.976915129348676,1,1,1,0,0.263858698802463
250000,-0.5225795792477835,4,1,1,0,-0.9880256385814857
450000,2.115420371060803,1,1,1,2,-0.23689503615111648
140000,1.6711256425877776,4,1,1,0,1.5157430361864117
550000,-1.105716410368629,4,1,1,0,-0.737648771104696
240000,-0.13382169183388665,4,1,1,2,-0.23689503615111648
850000,-1.105716410368629,4,1,1,0,-0.48727190362790623
365000,0.36600987769826654,0,1,1,0,-0.9880256385814857
260000,-0.8280322050729882,4,1,1,0,-0.48727190362790623
250000,0.976915129348676,4,1,1,0,-0.23689503615111648
585000,-1.133484830898193,4,0,1,0,-0.48727190362790623
1195000,-1.6610848209599103,1,0,1,0,-1.4887793735350652
390000,-0.8835690461321164,1,1,1,2,0.013481831325673245
975000,-1.6749690312246923,1,0,0,0,-1.2384025060582755
930000,-1.3972848259290516,4,0,1,0,-1.2384025060582755
525000,-1.3834006156642695,4,1,1,0,-1.2384025060582755
450000,1.821075113447424,1,0,0,2,0.5142355662792527
900000,-0.4115058971295273,4,1,0,0,-0.737648771104696
850000,1.5045151194103932,4,0,0,0,0.7646124337560425
229999,-0.13382169183388665,4,1,1,1,-0.23689503615111648
625000,-0.689190102425168,1,1,1,0,0.263858698802463
1050000,-0.4115058971295273,1,1,1,0,-0.23689503615111648
560000,0.2549361955800103,1,1,1,2,-0.23689503615111648
290000,-0.022748009715630384,4,1,1,2,-0.23689503615111648
275000,-0.13382169183388665,4,1,1,2,0.263858698802463
411000,1.5322835399399573,1,1,1,2,1.0149893012328322
150000,0.3937782982278306,4,1,1,4,1.0149893012328322
500000,-1.3834006156642695,4,1,1,0,-1.4887793735350652
100000,0.4215467187573947,4,1,1,0,1.7661199036632014
725000,-1.2862111438107955,1,0,1,0,-0.9880256385814857
401000,-1.5166890342061772,4,0,1,0,-1.2384025060582755
750000,-0.9946427282503727,1,0,1,0,-1.2384025060582755
310000,-1.0224111487799368,4,0,1,0,-1.2384025060582755
665000,-0.5225795792477835,1,0,1,0,-0.737648771104696
465000,0.14386251346175402,1,0,1,0,-0.23689503615111648
160000,-0.13382169183388665,4,1,1,2,0.263858698802463
675000,0.6992309240530353,1,0,1,0,-0.23689503615111648
300000,0.4215467187573947,4,0,1,0,0.013481831325673245
70000,0.4215467187573947,1,1,1,0,2.016496771139991
240000,0.23549830120931542,4,0,1,2,-0.23689503615111648
525000,0.7547677651121635,1,0,1,0,-0.23689503615111648
151000,0.054003904628084694,4,0,1,2,1.0149893012328322
140000,0.976915129348676,4,1,1,0,1.0149893012328322
570000,-0.13382169183388665,1,1,1,0,-0.9880256385814857
300000,-0.9391058871912445,4,1,1,0,-1.2384025060582755
100000,-0.7169585229547321,1,1,1,0,1.5157430361864117
500000,1.5322835399399573,1,1,1,4,1.0149893012328322
125000,2.8096308842999047,1,1,1,1,-0.23689503615111648
130000,1.2545993346443167,4,1,1,4,1.7661199036632014
925000,-0.8280322050729882,1,1,1,0,-0.9880256385814857
750000,-0.13382169183388665,1,1,1,0,-1.2384025060582755
200000,-0.30043221501127104,4,1,0,2,1.5157430361864117
248000,-0.05051643024519445,4,1,1,2,0.7646124337560425
450000,1.5322835399399573,1,1,1,2,-0.23689503615111648
80000,1.5322835399399573,4,1,1,4,2.016496771139991
650000,0.3104730366391384,4,1,1,2,-0.23689503615111648
450000,0.4215467187573947,1,1,1,0,-0.48727190362790623
650000,-1.105716410368629,1,1,1,0,-1.4887793735350652
495000,-1.4678721509152035,4,0,1,0,-0.737648771104696
371000,-1.2445585130164494,4,0,1,0,-0.48727190362790623
1025000,-1.550011138841654,4,0,1,0,-0.9880256385814857
750000,0.14386251346175402,1,1,1,0,-0.48727190362790623
600000,1.5322835399399573,1,1,1,0,0.013481831325673245
80000,-0.18935853289301477,4,0,1,2,1.5157430361864117
325000,-0.0727311666688457,1,0,1,0,0.013481831325673245
350000,-0.3282006355408351,1,1,1,2,-0.48727190362790623
210000,-1.3834006156642695,4,0,1,2,-0.9880256385814857
450000,-0.4115058971295273,4,1,1,0,0.013481831325673245
1150000,-0.3282006355408351,1,0,0,0,0.013481831325673245
210000,-0.03663221998041242,4,0,0,0,1.0149893012328322
175000,-0.9898387914987581,4,0,1,0,1.2653661687096218
628000,1.5322835399399573,1,1,1,0,-0.9880256385814857
600000,0.976915129348676,1,1,1,0,0.7646124337560425
399000,-0.9668743077208086,4,1,1,0,-0.9880256385814857
750000,0.6159256624643431,1,1,1,0,-1.2384025060582755
750000,-1.3834006156642695,4,1,1,0,-1.4887793735350652
315000,-1.3556321951347055,4,1,1,0,-0.9880256385814857
600000,-0.13382169183388665,1,1,1,0,0.263858698802463
100000,-0.13382169183388665,4,1,1,1,0.7646124337560425
250000,1.2545993346443167,4,1,1,4,0.5142355662792527
350000,-1.105716410368629,4,1,1,0,-0.9880256385814857
780000,-0.13382169183388665,1,1,1,0,-0.737648771104696
434000,0.40349724541317805,1,1,1,2,-0.23689503615111648
690000,0.4215467187573947,4,1,0,0,-0.737648771104696
555000,0.6992309240530353,1,1,1,2,-0.23689503615111648
120000,0.6992309240530353,4,1,1,2,1.5157430361864117
500000,1.5322835399399573,1,1,1,2,-0.23689503615111648
165000,-0.13382169183388665,1,1,1,2,0.013481831325673245
95000,-0.4115058971295273,4,1,1,0,2.2668736386167807
550000,-1.2445585130164494,4,1,1,0,-1.2384025060582755
100000,1.2545993346443167,1,1,1,1,1.5157430361864117
100000,-0.4115058971295273,4,1,1,2,0.263858698802463
500000,0.976915129348676,1,1,1,0,0.263858698802463
800000,0.14386251346175402,1,1,1,2,-0.737648771104696
840000,0.14386251346175402,1,1,1,2,-0.737648771104696
490000,-0.4115058971295273,4,1,1,0,-0.737648771104696
125000,0.4493151392869587,1,1,1,2,0.7646124337560425
400000,1.5322835399399573,1,1,1,4,0.263858698802463
1000000,-1.6999606097013,1,0,1,0,-0.48727190362790623
530000,-1.4036160258097923,4,0,1,0,-0.48727190362790623
840000,-0.43335964408629424,1,0,1,0,-0.9880256385814857
229999,-0.689190102425168,4,1,1,0,-0.48727190362790623
